code,year,amount
Mineral/Metal prospection and exploration,1984,632576576
Power generation/non-renewable sources,1984,680944122
Power generation/renewable sources,1984,479805457
Rail transport,1984,475235242
Social/ welfare services,1984,19766810
Telecommunications,1984,215829973
Air transport,1985,287676519
Import support (capital goods),1985,77954263
Industrial development,1985,940204559
Mineral/Metal prospection and exploration,1985,605384859
Power generation/non-renewable sources,1985,182940134
Power generation/renewable sources,1985,53703140
RESCHEDULING AND REFINANCING,1985,1014259163
Rail transport,1985,134596484
Social/ welfare services,1985,33496454
Telecommunications,1985,183388029
Air transport,1986,695113150
Import support (capital goods),1986,44726766
Industrial development,1986,625537865
Mineral/Metal prospection and exploration,1986,737079395
Power generation/non-renewable sources,1986,102087624
Power generation/renewable sources,1986,164769263
Rail transport,1986,34843304
Social/ welfare services,1986,14344384
Telecommunications,1986,168285454
Air transport,1987,1012887955
Import support (capital goods),1987,60164507
Industrial development,1987,380313458
Mineral/Metal prospection and exploration,1987,679626885
Power generation/non-renewable sources,1987,51448529
Power generation/renewable sources,1987,107755657
Rail transport,1987,85117635
Social/ welfare services,1987,11481589
Telecommunications,1987,110144423
Air transport,1988,96497158
Import support (capital goods),1988,138310066
Industrial development,1988,906410888
Mineral/Metal prospection and exploration,1988,354874165
Power generation/non-renewable sources,1988,390801061
Rail transport,1988,107365899
Social/ welfare services,1988,7938535
Telecommunications,1988,535073066
Air transport,1989,98465542
Industrial development,1989,388659858
Mineral/Metal prospection and exploration,1989,431006385
Power generation/non-renewable sources,1989,42742542
Power generation/renewable sources,1989,910336207
RESCHEDULING AND REFINANCING,1989,2606246263
Rail transport,1989,73959565
Social/ welfare services,1989,22345362
Telecommunications,1989,239013115
Air transport,1990,254913681
Import support (capital goods),1990,50648790
Industrial development,1990,887708073
Mineral/Metal prospection and exploration,1990,21516183
Power generation/non-renewable sources,1990,70680811
Power generation/renewable sources,1990,7572945
RESCHEDULING AND REFINANCING,1990,2768322374
Rail transport,1990,938279048
Social/ welfare services,1990,72342785
Telecommunications,1990,290465588
Air transport,1991,310459678
Import support (capital goods),1991,163177723
Industrial development,1991,1289413570
Mineral/Metal prospection and exploration,1991,489983384
Power generation/non-renewable sources,1991,3767416
Power generation/renewable sources,1991,66239728
Rail transport,1991,185736779
Social/ welfare services,1991,24186026
Telecommunications,1991,339762137
Air transport,1992,1771359012
Import support (capital goods),1992,7482017761
Industrial development,1992,1885616356
Mineral/Metal prospection and exploration,1992,406513708
Power generation/non-renewable sources,1992,1494675086
Power generation/renewable sources,1992,44999636
RESCHEDULING AND REFINANCING,1992,8344866729
Rail transport,1992,90394219
Social/ welfare services,1992,146417259
Telecommunications,1992,321971933
Air transport,1993,2121584979
Import support (capital goods),1993,49168610
Industrial development,1993,1689134694
Mineral/Metal prospection and exploration,1993,36729398
Power generation/non-renewable sources,1993,388132738
Power generation/renewable sources,1993,90780001
RESCHEDULING AND REFINANCING,1993,63809098
Rail transport,1993,341385289
Social/ welfare services,1993,35408778
Telecommunications,1993,240701033
Air transport,1994,4211207268
Industrial development,1994,1595567680
Mineral/Metal prospection and exploration,1994,28010396
Power generation/non-renewable sources,1994,1606345960
Power generation/renewable sources,1994,195628395
Rail transport,1994,167636496
Social/ welfare services,1994,58670556
Telecommunications,1994,198625039
Air transport,1995,497807763
Industrial development,1995,679756647
Mineral/Metal prospection and exploration,1995,255739191
Power generation/non-renewable sources,1995,770605554
Power generation/renewable sources,1995,518374380
Rail transport,1995,172767802
Social/ welfare services,1995,111991116
Telecommunications,1995,240902364
Air transport,1996,742750235
Industrial development,1996,829747151
Mineral/Metal prospection and exploration,1996,293652853
Power generation/non-renewable sources,1996,919658202
Power generation/renewable sources,1996,120338108
Rail transport,1996,391229602
Social/ welfare services,1996,93499965
Telecommunications,1996,992246816
Air transport,1997,1605192456
Industrial development,1997,766376994
Mineral/Metal prospection and exploration,1997,303809928
Power generation/non-renewable sources,1997,1291967800
Power generation/renewable sources,1997,470215385
Rail transport,1997,694798740
Social/ welfare services,1997,71418576
Telecommunications,1997,270129200
Air transport,1998,634116769
Industrial development,1998,308069616
Mineral/Metal prospection and exploration,1998,87206
Power generation/non-renewable sources,1998,961929323
Power generation/renewable sources,1998,12774435
Rail transport,1998,657668408
Social/ welfare services,1998,212562940
Telecommunications,1998,323717723
Air transport,1999,5896935547
Industrial development,1999,40875883
Mineral/Metal prospection and exploration,1999,83138567
Power generation/non-renewable sources,1999,560713336
Power generation/renewable sources,1999,158385618
Rail transport,1999,800042829
Social/ welfare services,1999,118053361
Telecommunications,1999,410867928
Air transport,2000,3089373356
Industrial development,2000,141462184
Mineral/Metal prospection and exploration,2000,134802462
Power generation/non-renewable sources,2000,3523908
Power generation/renewable sources,2000,5131051
Rail transport,2000,535115398
Social/ welfare services,2000,1419058679
Telecommunications,2000,449102487
Air transport,2001,2461432288
Industrial development,2001,494144961
Mineral/Metal prospection and exploration,2001,2279474
Power generation/non-renewable sources,2001,425306890
Power generation/renewable sources,2001,204411855
Rail transport,2001,78742572
Social/ welfare services,2001,418391339
Telecommunications,2001,116120532
Air transport,2002,3409273587
Industrial development,2002,29064744
Mineral/Metal prospection and exploration,2002,18213538
Power generation/non-renewable sources,2002,308877253
Power generation/renewable sources,2002,47637502
Rail transport,2002,317903789
Social/ welfare services,2002,189193002
Telecommunications,2002,334067486
Air transport,2003,1605190
Import support (capital goods),2003,74620674
Industrial development,2003,32437533
Mineral/Metal prospection and exploration,2003,6453025
Power generation/non-renewable sources,2003,505564994
Power generation/renewable sources,2003,16126597
Rail transport,2003,386716108
Social/ welfare services,2003,413408249
Telecommunications,2003,33823637
Air transport,2004,513119049
Industrial development,2004,7331241
Mineral/Metal prospection and exploration,2004,1054547
Power generation/non-renewable sources,2004,1350242
Power generation/renewable sources,2004,458289920
Rail transport,2004,678991354
Social/ welfare services,2004,796312991
Telecommunications,2004,3685399
Air transport,2005,410669869
Industrial development,2005,6703637
Mineral/Metal prospection and exploration,2005,11289609
Power generation/non-renewable sources,2005,185195321
Power generation/renewable sources,2005,182849973
Rail transport,2005,223491419
Social/ welfare services,2005,766717891
Telecommunications,2005,595366
Air transport,2006,278918
Industrial development,2006,9213317
Mineral/Metal prospection and exploration,2006,1474041
Power generation/non-renewable sources,2006,616036
Power generation/renewable sources,2006,223553347
Rail transport,2006,697248639
Social/ welfare services,2006,1499146442
Telecommunications,2006,198757
Air transport,2007,777396
Industrial development,2007,2652404
Mineral/Metal prospection and exploration,2007,1498063
Power generation/non-renewable sources,2007,132164
Power generation/renewable sources,2007,15479641
Rail transport,2007,161756943
Social/ welfare services,2007,395077858
Telecommunications,2007,243478
Air transport,2008,947246
Import support (capital goods),2008,71540
Industrial development,2008,5278467
Mineral/Metal prospection and exploration,2008,1137705
Power generation/non-renewable sources,2008,888204
Power generation/renewable sources,2008,181083150
Rail transport,2008,1945744781
Social/ welfare services,2008,709105782
Telecommunications,2008,62893
Air transport,2009,2206650
Industrial development,2009,7334558
Mineral/Metal prospection and exploration,2009,552446
Power generation/non-renewable sources,2009,86235329
Power generation/renewable sources,2009,242645248
Rail transport,2009,1726078347
Social/ welfare services,2009,709783323
Telecommunications,2009,486644
Air transport,2010,1015388
Import support (capital goods),2010,1896
Industrial development,2010,78456408
Power generation/non-renewable sources,2010,1612781
Power generation/renewable sources,2010,178425707
Rail transport,2010,2769998813
Social/ welfare services,2010,260603166
Telecommunications,2010,2603981
Air transport,2011,4105579
Industrial development,2011,15188216
Mineral/Metal prospection and exploration,2011,1217712
Power generation/non-renewable sources,2011,200948
Power generation/renewable sources,2011,1036425472
Rail transport,2011,436777967
Social/ welfare services,2011,128044941
Telecommunications,2011,774579
Air transport,2012,4397101
Industrial development,2012,2569208
Mineral/Metal prospection and exploration,2012,545570
Power generation/non-renewable sources,2012,49672035
Power generation/renewable sources,2012,389711520
Rail transport,2012,1619976788
Social/ welfare services,2012,70213003
Telecommunications,2012,1611860
Air transport,2013,5627464
Industrial development,2013,4937413
Mineral/Metal prospection and exploration,2013,2839501
Power generation/non-renewable sources,2013,250838515
Power generation/renewable sources,2013,336238470
Rail transport,2013,2251372351
Social/ welfare services,2013,78053299
Telecommunications,2013,5520572
